route	page	#	station	text
Anglia	0087	001	LIVERPOOL STREET	Platform 1 - 242m (264yds) PP
Anglia	0087	002	LIVERPOOL STREET	Platforms 2 to 8 - 252m (275yds) PP
Anglia	0087	003	LIVERPOOL STREET	Platform 9 - 268m (314yds) PP
Anglia	0087	004	LIVERPOOL STREET	Platform 10 - 248m (27 1yds) PP
Anglia	0087	005	LIVERPOOL STREET	Platform 11 - 261m (285yds) PP
Anglia	0087	006	LIVERPOOL STREET	Platform 12 - 246m (269yds) PP
Anglia	0087	007	LIVERPOOL STREET	Platform 13 - 256m (279yds) PP
Anglia	0087	008	LIVERPOOL STREET	Platforms 14 15 - 246m (269yds) PP
Anglia	0087	009	LIVERPOOL STREET	Platforms 16 to 18 - 162m (177yds) PP
Anglia	0089	005	BETHNAL GREEN	Up platform - 187m (204yds)
Anglia	0089	006	BETHNAL GREEN	Dn platform - 187m (204yds)
Anglia	0093	007	STRATFORD	Platform 5 - 253m (271yds) PP-C
Anglia	0093	008	STRATFORD	Platform 8 - 252m (27 1yds) PP-C
Anglia	0093	009	STRATFORD	Platform 9 - 255m (276yds)
Anglia	0093	010	STRATFORD	Platform 10 - 255m (276yds)
Anglia	0093	011	STRATFORD	Platform 10A - 215m (233yds)
Anglia	0094	005	MARYLAND	Platform 1 - 168m (182yds)
Anglia	0094	006	MARYLAND	Platform 2 - 169m (183yds)
Anglia	0094	007	MARYLAND	Platform 3 - 169m (183yds)
Anglia	0094	008	MARYLAND	Platform 4 - 168m (182yds)
Anglia	0096	001	FOREST GATE	Platform 1 - 173m (187yds)
Anglia	0096	002	FOREST GATE	Platform 2 - 178m (192yds)
Anglia	0096	003	FOREST GATE	Platform 3 - 175m (189yds)
Anglia	0096	004	FOREST GATE	Platform 4 - 198m (214yds)
Anglia	0097	006	MANOR PARK	Platform 1 - 168m (182yds)
Anglia	0097	007	MANOR PARK	Platform 2 - 185m (199yds)
Anglia	0097	008	MANOR PARK	Platform 3 - 194m (210yds)
Anglia	0097	009	MANOR PARK	Platform 4 - 163m (175yds)
Anglia	0098	007	ILFORD	Platform 1 - 197m (212yds)
Anglia	0098	008	ILFORD	Platform 2 - 191m (206yds)
Anglia	0098	009	ILFORD	Platform 3 - 182m (197yds)
Anglia	0098	010	ILFORD	Platform 4 - 180m (194yds)
Anglia	0099	006	SEVEN KINGS	Platform 1 - 180m (194yds)
Anglia	0099	007	SEVEN KINGS	Platform 2 - 180m (194yds)
Anglia	0099	008	SEVEN KINGS	Platform 3 - 187m (202yds)
Anglia	0099	009	SEVEN KINGS	Platform 4 - 187m (202yds)
Anglia	0100	008	GOODMAYES	Platform 1 - 185m (200yds)
Anglia	0100	010	GOODMAYES	Platform 2 - 184m (198yds)
Anglia	0100	012	GOODMAYES	Platform 3 - 184m (198yds)
Anglia	0100	014	GOODMAYES	Platform 4 - 184m (198yds)
Anglia	0101	006	CHADWELL HEATH	Platforms 1 to 4 - 184m (199yds)
Anglia	0107	001	SHENFIELD	Platform 1 - 249m (270yds)
Anglia	0107	002	SHENFIELD	Platform 2 - 249m (270yds)
Anglia	0107	003	SHENFIELD	Platform 3 - 256m (277yds)
Anglia	0107	004	SHENFIELD	Platform 4 - 249m (269yds)
Anglia	0107	005	SHENFIELD	Platform 5 -245m (268yds)
Anglia	0107	006	SHENFIELD	Platform 6 -209m (229yds)
Anglia	0108	008	INGATESTONE	Up Platform 1 - 248m (268yds)
Anglia	0108	009	INGATESTONE	Down Platform 2 - 250m (271yds)
Anglia	0109	009	CHELMSFORD	Up Platform - 248m (268yds)
Anglia	0109	010	CHELMSFORD	Down Platform - 248m (268yds)
Anglia	0110	012	HATFIELD PEVEREL	Up Platform - 250m (27 1yds)
Anglia	0110	013	HATFIELD PEVEREL	Down Platform - 250m (27 1yds)
Anglia	0111	005	WITHAM	Platform 1 - 250m (271yds) PP-A
Anglia	0111	006	WITHAM	Platform 2 - 249m (270yds)
Anglia	0111	007	WITHAM	Platform 3 - 252m (274yds)
Anglia	0111	008	WITHAM	Platform 4 - 250m (272yds) PP-A
Anglia	0112	009	KELVEDON	Up Platform - 249m (270yds)
Anglia	0112	010	KELVEDON	Down Platform - 257m (277yds)
Anglia	0113	002	MARKS TEY	Up platform - 177m (191yds)
Anglia	0113	003	MARKS TEY	Down platform - 228m (246yds)
Anglia	0113	004	MARKS TEY	Sudbury platform - 50m (55yds)
Anglia	0115	002	COLCHESTER	Platform 1 - 251m (272yds) PP-A
Anglia	0115	003	COLCHESTER	Platform 2 - 260m (281yds) PP-A
Anglia	0115	004	COLCHESTER	Platform 3 - 248m (268yds) PP-A
Anglia	0115	005	COLCHESTER	Platform 4 - 318m (344yds) PP-A
Anglia	0115	006	COLCHESTER	Platform 5 - 220m (238yds) PP
Anglia	0115	007	COLCHESTER	Platform 6 - 223m (241yds) PP
Anglia	0116	003	MANNINGTREE	Platform 1 - 108m (117yds)
Anglia	0116	004	MANNINGTREE	Platform 2 - 245m (265yds)
Anglia	0116	005	MANNINGTREE	Platform 3 - 245m (265yds)
Anglia	0117	004	IPSWICH	Platform 1 - 95m (103yds) PP
Anglia	0117	005	IPSWICH	Platform 2 - 245m (265yds) PP
Anglia	0117	006	IPSWICH	Platform 3 - 245m (265yds) PP
Anglia	0117	007	IPSWICH	Platform 4 - 245m (265yds) PP
Anglia	0119	006	NEEDHAM MARKET	Up Platform - 71 metres (72 yards)
Anglia	0119	007	NEEDHAM MARKET	Down Platform - 84 metres (90 yards)
Anglia	0120	002	STOWMARKET	Up Platform - 250m (270yds)
Anglia	0120	003	STOWMARKET	Down Platform - 250m (270yds)
Anglia	0122	009	DISS	Up Platform - 250m (270yds)
Anglia	0122	010	DISS	Down Platform - 250m (270yds)
Anglia	0126	006	NORWICH	Platform 1 - 208m (318yds) PP
Anglia	0126	007	NORWICH	Platform 2 - 296m (320yds) PP
Anglia	0126	008	NORWICH	Platform 3 - 250m (270yds) PP
Anglia	0126	009	NORWICH	Platform 4 - 255m (275yds) PP
Anglia	0126	010	NORWICH	Platform 5 - 198m (214yds)y PP
Anglia	0126	011	NORWICH	Platform 6 - 132m (142yds) PP
Anglia	0131	008	WICKFORD	Platform 1 - 109m (118yd)
Anglia	0131	009	WICKFORD	Platform 2 - 248m (268yd)
Anglia	0131	010	WICKFORD	Platform 3 - 252m (273yd)
Anglia	0131	011	WICKFORD	Platform 4 - 106m (113yd)
Anglia	0135	003	NORTH FAMBRIDGE	Up platform - 165m (178yd)
Anglia	0135	004	NORTH FAMBRIDGE	Down platform - 189m (206yd)
Anglia	0137	007	WHITE NOTLEY	Platform - 249m (272yds)
Anglia	0143	005	HYTHE	Up platform - 250m (273 yds)
Anglia	0143	006	HYTHE	Down platform - 272m (297 yds)
Anglia	0146	003	THORPE-LE-SOKEN	Up Platform - 249m (272yd) PP-C
Anglia	0146	004	THORPE-LE-SOKEN	Down Platform - 248m (271yd) PP-C
Anglia	0147	003	CLACTON-ON-SEA	Platform 1 - 205m (224 yd) PP
Anglia	0147	004	CLACTON-ON-SEA	Platform 2 - 248m (268 yd) PP
Anglia	0147	005	CLACTON-ON-SEA	Platform 3 - 197m (215 yd) PP
Anglia	0147	006	CLACTON-ON-SEA	Platform 4 - 243m (266 yd) PP
Anglia	0148	005	COLCHESTER TOWN	Platform - 256m (280 yd)
Anglia	0149	005	KIRBY CROSS	Platforms - 171m (187yrd)
Anglia	0149	006	KIRBY CROSS	(Down Platform Down direction - 167m (182yrd) due
Anglia	0149	007	KIRBY CROSS	to Signal location on platform)
Anglia	0151	003	MANNINGTREE	Manningtree Platform 1 - 108m (177yds) PP
Anglia	0152	003	MISTLEY	Up Platform - 91m (99 yd)
Anglia	0152	004	MISTLEY	Down Platform - 89m (97 yd)
Anglia	0153	003	WRABNESS	Down Platform - 83m (90 yd)
Anglia	0153	004	WRABNESS	Up Platform - 85m (93 yd)
Anglia	0160	005	HACKNEY DOWNS	Up Platform 1 - 214m (215yd)
Anglia	0160	006	HACKNEY DOWNS	Down Platform 2 - 192m (208yd)
Anglia	0160	007	HACKNEY DOWNS	Up Platform 3 - 192m (208yd)
Anglia	0160	008	HACKNEY DOWNS	Down Platform 4 - 186m (201yd)
Anglia	0161	009	CLAPTON	Up Platform - 186m (201yd)
Anglia	0161	010	CLAPTON	Down Platform - 186m (201yd)
Anglia	0163	003	TOTTENHAM HALE	Up platform - 254m (275 yd)
Anglia	0163	004	TOTTENHAM HALE	Down platform - 249m (296 yd)
Anglia	0166	005	CHESHUNT	Up Platform - 248m (271 yds)
Anglia	0166	006	CHESHUNT	Down Platform - 248m (271 yds)
Anglia	0166	007	CHESHUNT	Bay Platform - 168m (178 yds)
Anglia	0167	003	BROXBOURNE	Cross Track Walkway, Platforms 1-4 17m (516 yds)
Anglia	0167	004	BROXBOURNE	Platform 1 - 172m (188 yds)
Anglia	0167	005	BROXBOURNE	Platform 2 - 245m (268 yds)
Anglia	0167	006	BROXBOURNE	Platform 3 -247m (271 yds)
